idSimulation,band,num_of_species,species,height_m,abs_mean,abs_sd,pos,scenetype,albedo
1,NIR,1,0,19,0.0,0.0,1,1,0.03341554350279075
1,NIR,1,0,18,0.012386255818980455,0.003839294087621388,1,1,0.03341554350279075
1,NIR,1,0,17,0.08193312578065623,0.00821558733628858,1,1,0.03341554350279075
1,NIR,1,0,16,0.1237003816574767,0.00898530517830151,1,1,0.03341554350279075
1,NIR,1,0,15,0.14324720407310562,0.009622872363311314,1,1,0.03341554350279075
1,NIR,1,0,14,0.13841818725814548,0.010197744404768408,1,1,0.03341554350279075
1,NIR,1,0,13,0.12912686044285834,0.008509872310530443,1,1,0.03341554350279075
1,NIR,1,0,12,0.10679813325090552,0.006610604804485903,1,1,0.03341554350279075
1,NIR,1,0,11,0.0905971287424902,0.006789730264185412,1,1,0.03341554350279075
1,NIR,1,0,10,0.07050377265859104,0.006035014558101612,1,1,0.03341554350279075
1,NIR,1,0,9,0.04569771036097815,0.0038364441519691105,1,1,0.03341554350279075
1,NIR,1,0,8,0.011214778788388167,0.0018850076298610244,1,1,0.03341554350279075
1,NIR,1,0,7,0.0018086708,0.0004237536741474353,1,1,0.03341554350279075
1,NIR,1,0,6,0.0019007042833333336,0.00037675585910993363,1,1,0.03341554350279075
1,NIR,1,0,5,0.0019609762666666667,0.000429255983223707,1,1,0.03341554350279075
1,NIR,1,0,4,0.0018334872500000005,0.00023731674481291341,1,1,0.03341554350279075
1,NIR,1,0,3,0.0017548274833333332,0.00022037408328147906,1,1,0.03341554350279075
1,NIR,1,0,2,0.0018827065666666663,0.00031431569361081274,1,1,0.03341554350279075
1,NIR,1,0,1,0.001492557400000064,0.00024706964402900167,1,1,0.03341554350279075
1,VIS,1,0,19,0.0,0.0,1,1,0.12812668027886953
1,VIS,1,0,18,0.009297368979294956,0.002838144370472941,1,1,0.12812668027886953
1,VIS,1,0,17,0.06356659656597193,0.006337554029156392,1,1,0.12812668027886953
1,VIS,1,0,16,0.10121575548631505,0.007003153540034769,1,1,0.12812668027886953
1,VIS,1,0,15,0.12272211147774373,0.007712965186811593,1,1,0.12812668027886953
1,VIS,1,0,14,0.12375955871823509,0.008100532009078287,1,1,0.12812668027886953
1,VIS,1,0,13,0.11975303015819998,0.006877172653947088,1,1,0.12812668027886953
1,VIS,1,0,12,0.10268972131445704,0.005731178104763362,1,1,0.12812668027886953
1,VIS,1,0,11,0.08839585588340763,0.005936261466557621,1,1,0.12812668027886953
1,VIS,1,0,10,0.06858040687621628,0.005504998776550587,1,1,0.12812668027886953
1,VIS,1,0,9,0.04383683771038159,0.003436444369730701,1,1,0.12812668027886953
1,VIS,1,0,8,0.010577777182860444,0.0016609176578632897,1,1,0.12812668027886953
1,VIS,1,0,7,0.0018289826474074077,0.00025896283266558346,1,1,0.12812668027886953
1,VIS,1,0,6,0.0019174452333333334,0.00023151652854414047,1,1,0.12812668027886953
1,VIS,1,0,5,0.0019641645481481475,0.0002619329370481721,1,1,0.12812668027886953
1,VIS,1,0,4,0.0018497816629629627,0.00014886789668693668,1,1,0.12812668027886953
1,VIS,1,0,3,0.0018440941481481484,0.00013784817720771843,1,1,0.12812668027886953
1,VIS,1,0,2,0.00188827347037037,0.00018894202538110403,1,1,0.12812668027886953
1,VIS,1,0,1,0.0015961474411111981,0.00014796394020812168,1,1,0.12812668027886953
2,NIR,1,0,19,0.0,0.0,1,2,0.012800727756617164
2,NIR,1,0,18,0.012229013276946794,0.003809368836925105,1,2,0.012800727756617164
2,NIR,1,0,17,0.08052969103505331,0.008066456774386868,1,2,0.012800727756617164
2,NIR,1,0,16,0.12035923733499287,0.008779011724561834,1,2,0.012800727756617164
2,NIR,1,0,15,0.13701281466587342,0.009407037969978674,1,2,0.012800727756617164
2,NIR,1,0,14,0.1290624558319902,0.009912016759835577,1,2,0.012800727756617164
2,NIR,1,0,13,0.11519681949566732,0.008039970917614395,1,2,0.012800727756617164
